brand_name,model_name,energy,gearbox,transmission,carrosserie,year,mileage_km,age,mileage_per_year,log_price
toyota,corolla,essence,automatique,traction,compacte,2020,123000,5,24600.0,11.156264806643742
volkswagen,polo,essence,manuelle,traction,citadine,1998,359200,27,13303.703703703704,9.350189267092581
kia,sportage,diesel,manuelle,traction,suv,2018,200000,7,28571.428571428572,11.184435286790631
seat,leon,essence,manuelle,traction,compacte,2018,151000,7,21571.428571428572,10.950824090522445
kia,picanto,essence,manuelle,traction,citadine,2021,36000,4,9000.0,10.596659732783579
mercedes-benz,gla,essence,automatique,traction,suv,2021,78000,4,19500.0,11.835016210489899
mazda,cx-3,essence,automatique,traction,suv,2017,145000,8,18125.0,10.985309671896763
mercedes-benz,classe c,essence,automatique,propulsion,berline,2007,317000,18,17611.11111111111,10.668978650219241
mercedes-benz,classe a,essence,automatique,traction,compacte,2020,94000,5,18800.0,11.451060699493427
bmw,série 1,essence,automatique,traction,compacte,2017,126000,8,15750.0,11.06665398721974
kia,rio 5p,essence,manuelle,traction,citadine,2021,96000,4,24000.0,10.87806606028079
peugeot,208,essence,manuelle,traction,citadine,2021,37000,4,9250.0,10.714439990727769
mercedes-benz,classe c coupé,diesel,automatique,propulsion,coupé,2010,300000,15,20000.0,10.915106645867503
citroën,c3,essence,manuelle,traction,citadine,2017,70000,8,8750.0,10.434145214930487
mercedes-benz,classe e,diesel,automatique,traction,berline,2003,143000,22,6500.0,10.645448706505872
mercedes-benz,classe e,diesel,automatique,propulsion,berline,2016,78000,9,8666.666666666666,11.891368749982085
renault,megane sedan,essence,manuelle,traction,berline,2019,123000,6,20500.0,10.691967639914864
volkswagen,golf 7,essence,automatique,traction,compacte,2019,117000,6,19500.0,11.112462823634855
